3fga,3fga_diff,3fgm,3fgm_diff,3pt%,3pt%_diff,ast,ast_diff,blk,blk_diff,cnu_score,date,day,def,def_diff,fg%,fg%_diff,fga,fga_diff,fgm,fgm_diff,ft%,ft%_diff,fta,fta_diff,ftm,ftm_diff,home,month,off,off_diff,opp_3fga,opp_3fgm,opp_3pt%,opp_ast,opp_blk,opp_def,opp_fg%,opp_fga,opp_fgm,opp_ft%,opp_fta,opp_ftm,opp_off,opp_pf,opp_ppg avg,opp_pts,opp_rb avg,opp_score,opp_stl,opp_t/o,opp_tot,opponent,overtime,pf,pf_diff,ppg avg,pts,ranked,rb avg,season,stl,stl_diff,t/o,t/o_diff,tot,tot_diff,weekday,win,year
25,12,9,3,0.36,-0.1018,9,-5,4,2,73,2018-02-24,24,23,-2,0.433,-0.1328,60,7,26,-4,0.667,-0.06006,18,-4,12,-4,1,2,10,5,13,6,0.462,14,2,25,0.566,53,30,0.727,22,16,5,14,65.2,82,35.0,82,6,13,30,YORK (PA.),0,21,7,73.1,73,0,40.5,2017-2018,6,0,13,0,33,3,5,0,2018
29,21,11,7,0.379,-0.1211,17,7,8,5,68,2018-03-02,2,29,5,0.463,0.094,54,-11,25,1,0.7,0.01611,10,-9,7,-6,1,3,8,-8,8,4,0.5,10,3,24,0.369,65,24,0.684,19,13,16,16,65.2,65,35.2,65,12,11,40,LANCASTER BIBLE,0,18,2,72.9,68,0,40.4,2017-2018,6,-6,16,5,37,-3,4,1,2018
21,3,6,0,0.286,-0.04712,9,-5,8,2,52,2018-03-03,3,26,4,0.4,0.0808,45,-24,18,-4,0.667,-0.2222,15,-3,10,-6,1,3,6,-17,18,6,0.333,14,6,22,0.319,69,22,0.889,18,16,23,17,65.2,66,35.5,66,11,10,45,FRANKLIN & MARSHALL,0,17,0,72.2,52,0,40.1,2017-2018,3,-8,20,10,32,-13,5,0,2018
40,33,13,13,0.325,0.325,19,15,3,0,67,2018-11-17,17,24,0,0.39,0.1128,59,12,23,10,0.533,-0.2998,15,-15,8,-17,1,11,16,5,7,0,0.0,4,3,24,0.277,47,13,0.833,30,25,11,12,51.0,51,35.0,51,6,19,35,TRINITY (TX),0,27,15,67.0,67,0,40.0,2018-2019,9,3,18,-1,40,5,5,1,2018
18,-1,4,0,0.222,0.01099,7,-1,1,-3,66,2018-11-18,18,31,2,0.41,0.06494,61,3,25,5,0.571,0.02588,21,-1,12,0,0,11,14,4,19,4,0.211,8,4,29,0.345,58,20,0.545,22,12,10,20,53.5,56,37.0,56,7,17,39,MARYMOUNT (VA.),0,20,0,66.5,66,0,42.5,2018-2019,4,-3,15,-2,45,6,6,1,2018
28,13,7,4,0.25,0.05005,13,1,7,3,73,2018-11-24,24,33,6,0.407,0.084,59,-3,24,4,0.9,0.1377,20,-1,18,2,1,11,9,-5,15,3,0.2,12,4,27,0.323,62,20,0.762,21,16,14,19,55.3,59,38.3,59,6,15,41,METHODIST,0,17,-2,68.7,73,0,42.3,2018-2019,7,1,12,-3,42,1,5,1,2018
28,2,11,2,0.393,0.04712,23,15,5,-4,109,2018-11-25,25,31,8,0.464,0.1311,84,21,39,18,0.833,0.01807,24,-3,20,-2,1,11,23,10,26,9,0.346,8,9,23,0.333,63,21,0.815,27,22,13,24,59.8,73,37.8,73,6,21,36,JOHN CARROLL,0,26,2,78.8,109,0,45.2,2018-2019,7,1,12,-9,54,18,6,1,2018
26,4,9,2,0.346,0.02783,16,9,6,3,91,2018-11-28,28,42,12,0.485,0.124,66,-6,32,6,0.581,0.10596,31,-9,18,-1,0,11,12,-3,22,7,0.318,7,3,30,0.361,72,26,0.475,40,19,15,24,63.4,78,39.2,78,14,10,45,SHENANDOAH UNIVERSITY,0,26,2,81.2,91,0,47.0,2018-2019,2,-12,20,10,54,9,2,1,2018
28,15,11,7,0.393,0.08496,12,6,2,-1,82,2018-12-01,1,35,13,0.467,0.1621,60,1,28,10,0.833,0.2178,18,5,15,7,1,12,10,2,13,4,0.308,6,3,22,0.305,59,18,0.615,13,8,8,16,60.8,48,37.7,48,5,9,30,RANDOLPH,0,13,-3,81.3,82,0,46.7,2018-2019,4,-1,10,1,45,15,5,1,2018
30,13,8,1,0.267,-0.145,10,4,1,-2,64,2018-12-02,2,27,-11,0.373,-0.0659,59,2,22,-3,0.571,-0.2622,21,-3,12,-8,0,12,5,-1,17,7,0.412,6,3,38,0.439,57,25,0.833,24,20,6,22,63.1,77,38.6,77,7,9,44,LYNCHBURG UNIVERSITY,0,19,-3,78.9,64,0,44.6,2018-2019,2,-5,12,3,32,-12,6,0,2018
26,13,9,5,0.346,0.03784,12,5,6,3,72,2018-12-08,8,26,5,0.424,0.02002,59,2,25,2,0.722,-0.01074,18,3,13,2,1,12,16,6,13,4,0.308,7,3,21,0.404,57,23,0.733,15,11,10,17,62.9,61,37.6,61,4,6,31,RANDOLPH-MACON,0,14,-3,78.0,72,0,44.2,2018-2019,3,-1,8,2,42,11,5,1,2018
25,11,12,8,0.48,0.1941,19,12,2,-8,97,2018-12-16,16,30,12,0.5,0.11694,70,10,35,12,0.75,0.0698,20,-5,15,-2,1,12,20,7,14,4,0.286,7,10,18,0.383,60,23,0.68,25,17,13,19,63.3,67,36.9,67,6,12,31,VIRGINIA WESLEYAN UNIVERSITY,0,19,0,80.1,97,0,44.9,2018-2019,5,-1,12,0,50,19,6,1,2018
43,28,15,13,0.349,0.2161,17,11,3,0,80,2018-12-28,28,38,14,0.433,0.165,67,11,29,14,0.7,0.0752,10,-14,7,-8,1,12,16,7,15,2,0.133,6,3,24,0.268,56,15,0.625,24,15,9,16,61.7,47,36.5,47,6,14,33,MT. ST. MARY (NY),0,22,6,80.1,80,0,45.8,2018-2019,6,0,16,2,54,21,4,1,2018
28,19,10,7,0.357,0.02393,17,9,9,8,79,2018-12-29,29,30,9,0.407,0.10986,54,-10,22,3,0.806,0.1953,31,13,25,14,1,12,16,-3,9,3,0.333,8,1,21,0.297,64,19,0.611,18,11,19,24,60.8,52,36.8,52,12,19,40,HUNTINGDON,0,18,-6,80.0,79,0,45.8,2018-2019,8,-4,19,0,46,6,5,1,2018
22,2,5,-4,0.227,-0.2229,7,0,4,2,73,2019-01-02,2,18,-2,0.392,-0.0679,51,1,20,-3,0.778,-0.1113,36,18,28,12,1,1,16,6,20,9,0.45,7,2,20,0.46,50,23,0.889,18,16,10,28,61.7,71,36.2,71,4,14,30,YORK (PA.),0,19,-9,79.4,73,0,44.8,2018-2019,9,5,10,-4,34,4,2,1,2019
25,8,10,2,0.4,-0.07104,12,0,2,-3,61,2019-01-05,5,29,0,0.392,0.00903,51,-9,20,-3,0.647,-0.2349,17,0,11,-4,0,1,5,-4,17,8,0.471,12,5,29,0.383,60,23,0.882,17,15,9,15,62.2,69,36.4,69,7,11,38,MARY WASHINGTON,0,17,2,78.0,61,0,44.0,2018-2019,3,-4,14,3,34,-4,5,0,2019
26,15,11,8,0.423,0.1501,19,11,11,7,79,2019-01-09,9,40,18,0.5,0.254,54,-7,27,12,0.737,0.05762,19,-9,14,-5,1,1,6,-7,11,3,0.273,8,4,22,0.246,61,15,0.679,28,19,13,21,61.5,52,36.3,52,11,15,35,ST. MARY'S (MD.),0,20,-1,78.1,79,0,44.1,2018-2019,6,-5,18,3,46,11,2,1,2019
21,0,7,2,0.333,0.095,12,-4,1,-4,75,2019-01-12,12,29,8,0.441,0.02588,59,-6,26,-1,0.727,0.06006,22,13,16,10,0,1,16,6,21,5,0.238,16,5,21,0.415,65,27,0.667,9,6,10,19,61.7,65,35.9,65,7,8,31,FROSTBURG STATE UNIVERSITY,0,12,-7,77.9,75,0,44.2,2018-2019,2,-5,13,5,45,14,5,1,2019
30,17,10,7,0.333,0.10205,19,4,5,-3,77,2019-01-16,16,20,-4,0.448,0.04102,67,13,30,8,0.778,0.07764,9,-1,7,0,0,1,12,5,13,3,0.231,15,8,24,0.407,54,22,0.7,10,7,7,16,61.2,54,35.6,54,3,12,31,SOUTHERN VIRGINIA UNIVERSITY,0,11,-5,77.8,77,0,43.4,2018-2019,6,3,7,-5,32,1,2,1,2019
35,23,13,10,0.371,0.1211,24,12,4,2,89,2019-01-19,19,23,0,0.478,0.0781,69,14,33,11,0.714,0.04688,14,-7,10,-4,1,1,17,3,12,3,0.25,12,2,23,0.4,55,22,0.667,21,14,14,15,61.2,61,35.7,61,4,15,37,PENN STATE HARRISBURG,0,21,6,78.5,89,0,43.2,2018-2019,7,3,11,-4,40,3,5,1,2019
25,8,9,5,0.36,0.1251,14,11,6,-1,67,2019-01-23,23,33,-4,0.387,-0.02612,62,-1,24,-2,0.455,-0.3447,22,12,10,2,1,1,9,3,17,4,0.235,3,7,37,0.413,63,26,0.8,10,8,6,21,61.4,64,36.1,64,3,12,43,SALISBURY,0,11,-10,77.8,67,0,43.2,2018-2019,8,5,8,-4,42,-1,2,1,2019
22,0,10,4,0.455,0.1821,13,6,1,-1,81,2019-01-26,26,25,0,0.5,0.0559,54,0,27,3,0.607,-0.1929,28,-7,17,-11,0,1,10,2,22,6,0.273,7,2,25,0.444,54,24,0.8,35,28,8,21,62.5,82,35.9,82,10,14,33,YORK (PA.),0,26,5,78.0,81,0,42.7,2018-2019,6,-4,16,2,35,2,5,0,2019
